State;Location;Date Posted;Date Collected;Sample Type;Unit;Ba-140;Co-60;Cs-134;Cs-136;Cs-137;I-131;I-132;I-133;Te-129;Te-129m;Te-132
Guam;Guam;2011-04-10;2011-04-01;Air Cartridge;pCi/m3;;;;;;;;;;;
Guam;Guam;2011-04-10;2011-04-02;Air Cartridge;pCi/m3;;;;;;;;;;;
Guam;Guam;2011-04-10;2011-04-03;Air Cartridge;pCi/m3;;;;;;;;;;;
Guam;Guam;2011-04-10;2011-04-04;Air Cartridge;pCi/m3;;;;;;;;;;;
AK;Juneau;2011-03-30;2011-03-21;Air Cartridge;pCi/m3;;;;;;0.037000000000000005;;;;;
AK;Juneau;2011-03-30;2011-03-22;Air Cartridge;pCi/m3;;;;;;0.18;;;;;
AK;Juneau;2011-03-30;2011-03-23;Air Cartridge;pCi/m3;;;;;;0.25;;;;;
AK;Juneau;2011-04-04;2011-03-24;Air Cartridge;pCi/m3;;;;;;0.22;;;;;
AK;Juneau;2011-04-04;2011-03-25;Air Cartridge;pCi/m3;;;;;;0.09300000000000001;;;;;
AK;Juneau;2011-04-08;2011-03-26;Air Cartridge;pCi/m3;;;;;;0.43;;;;;
AK;Juneau;2011-04-08;2011-03-27;Air Cartridge;pCi/m3;;;;;;0.38;;;;;
AK;Juneau;2011-04-09;2011-03-28;Air Cartridge;pCi/m3;;;;;;0.28;;;;;
AK;Juneau;2011-04-09;2011-03-29;Air Cartridge;pCi/m3;;;;;;0.31;;;;;
AK;Juneau;2011-04-08;2011-03-30;Air Cartridge;pCi/m3;;;;;;0.14;;;;;
AK;Juneau;2011-04-10;2011-03-31;Air Cartridge;pCi/m3;;;;;;0.061;;;;;
AK;Juneau;2011-04-10;2011-04-01;Air Cartridge;pCi/m3;;;;;;0.098;;;;;
AK;Juneau;2011-04-10;2011-04-02;Air Cartridge;pCi/m3;;;;;;0.071;;;;;
AK;Juneau;2011-04-10;2011-04-03;Air Cartridge;pCi/m3;;;;;;0.077;;;;;
AK;Juneau;2011-04-10;2011-04-04;Air Cartridge;pCi/m3;;;;;;0.073;;;;;
AK;Juneau;2011-04-10;2011-04-05;Air Cartridge;pCi/m3;;;;;;;;;;;
HI;Kauai;2011-04-04;2011-03-21;Air Cartridge;pCi/m3;;;;;;1.07;;;;;
HI;Kauai;2011-04-04;2011-03-22;Air Cartridge;pCi/m3;;;;;;0.18;;;;;
HI;Kauai;2011-04-04;2011-03-23;Air Cartridge;pCi/m3;;;;;;0.3;;;;;
HI;Kauai;2011-04-04;2011-03-24;Air Cartridge;pCi/m3;;;;;;0.16;;;;;
HI;Kauai;2011-04-09;2011-03-25;Air Cartridge;pCi/m3;;;;;;0.56;;;;;
HI;Kauai;2011-04-09;2011-03-26;Air Cartridge;pCi/m3;;;;;;0.47;;;;;
HI;Kauai;2011-04-09;2011-03-27;Air Cartridge;pCi/m3;;;;;;0.35;;;;;
HI;Kauai;2011-04-10;2011-03-28;Air Cartridge;pCi/m3;;;;;;;;;;;
HI;Kauai;2011-04-10;2011-03-29;Air Cartridge;pCi/m3;;;;;;;;;;;
HI;Kauai;2011-04-10;2011-03-30;Air Cartridge;pCi/m3;;;;;;;;;;;
HI;Kauai;2011-04-10;2011-03-31;Air Cartridge;pCi/m3;;;;;;0.086;;;;;
HI;Kauai;2011-04-10;2011-04-01;Air Cartridge;pCi/m3;;;;;;;;;;;
HI;Kauai;2011-04-10;2011-04-02;Air Cartridge;pCi/m3;;;;;;;;;;;
HI;Kauai;2011-04-10;2011-04-03;Air Cartridge;pCi/m3;;;;;;;;;;;
NV;Las Vegas;2011-03-30;2011-03-18;Air Cartridge;pCi/m3;;;;;;0.18;;;;;
NV;Las Vegas;2011-03-30;2011-03-21;Air Cartridge;pCi/m3;;;;;;1.1;;;;;
NV;Las Vegas;2011-03-30;2011-03-22;Air Cartridge;pCi/m3;;;;;;0.64;;;;;
NV;Las Vegas;2011-03-30;2011-03-23;Air Cartridge;pCi/m3;;;;;;0.35;;;;;
NV;Las Vegas;2011-04-04;2011-03-24;Air Cartridge;pCi/m3;;;;;;0.61;;;;;
NV;Las Vegas;2011-04-04;2011-03-25;Air Cartridge;pCi/m3;;;;;;0.8;;;;;
NV;Las Vegas;2011-04-08;2011-03-28;Air Cartridge;pCi/m3;;;;;;0.3;;;;;
NV;Las Vegas;2011-04-08;2011-03-29;Air Cartridge;pCi/m3;;;;;;0.044000000000000004;;;;;
NV;Las Vegas;2011-04-08;2011-03-30;Air Cartridge;pCi/m3;;;;;;0.08800000000000001;;;;;
NV;Las Vegas;2011-04-10;2011-03-31;Air Cartridge;pCi/m3;;;;;;0.1;;;;;
NV;Las Vegas;2011-04-10;2011-04-01;Air Cartridge;pCi/m3;;;;;;;;;;;
AL;Montgomery;2011-03-30;2011-03-24;Air Cartridge;pCi/m3;;;;;;0.15;;;;;
AL;Montgomery;2011-04-04;2011-03-28;Air Cartridge;pCi/m3;;;;;;0.12;;;;;
AL;Montgomery;2011-04-08;2011-03-31;Air Cartridge;pCi/m3;;;;;;0.055;;;;;
AL;Montgomery;2011-04-10;2011-04-04;Air Cartridge;pCi/m3;;;;;;0.069;;;;;
AL;Montgomery;2011-04-10;2011-04-05;Air Cartridge;pCi/m3;;;;;;;;;;;
AK;Nome;2011-03-30;2011-03-20;Air Cartridge;pCi/m3;;;;;;0.11;;;;;
AK;Nome;2011-03-30;2011-03-21;Air Cartridge;pCi/m3;;;;;;0.41;;;;;
AK;Nome;2011-04-04;2011-03-24;Air Cartridge;pCi/m3;;;;;;1.46;;;;;
AK;Nome;2011-04-08;2011-03-25;Air Cartridge;pCi/m3;;;;;;0.26;;;;;
AK;Nome;2011-04-08;2011-03-26;Air Cartridge;pCi/m3;;;;;;0.46;;;;;
